,,,,,,,Electron Removal Energies (Ionization Potentials) of Atoms and Atomic Ions (eV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atomic #,Element,Symbol,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
84,Polonium,Po,13.46,3.27,-5.15,-13.86,-23.15,-31.50,-46.50,-63.05,-88.55,-116.50,-135.55,-156.05,-178.00,-199.50,-222.00,-246.00,-269.00,-292.50,-360.00,-430.00,-458.50,-487.50,-531.00,-575.00,-630.00,-685.00,-720.00,-770.00,-830.00,-895.00,-960.00,-1025.00,-1090.00,-1150.00,-1215.00,-1285.00,-1350.00,-1410.00,-1475.00,-1540.00,-1717.50,-1894.00,-1954.50,-2019.00,-2083.50,-2146.00,-2229.00,-2313.00,-2379.50,-2447.00,-2610.00,-2771.50,-2838.00,-2905.50,-3066.00,-3231.00,-3359.00,-3487.10,-4654.60,-5857.50,-6007.00,-6166.00,-6326.50,-6481.00,-6706.50,-6935.50,-7103.00,-7270.50,-7580.00,-7875.00,-8020.00,-8170.00,-8645.00,-9135.00,-9385.00,-9630.00,-15190.00,-20860.00,-21260.00,-21665.00,-23360.00,-25110.00,-25675.00,-26190.20,-65727.35,-106023.50,,,,,,,,,,,,,,,,,,,,
85,Astatine,At,6.26,0.24,-6.05,-13.60,-22.23,-33.12,-45.02,-61.20,-78.55,-107.60,-139.55,-159.00,-180.55,-202.05,-224.00,-249.50,-275.00,-299.00,-323.00,-393.50,-466.50,-495.50,-525.00,-570.00,-615.00,-675.00,-735.00,-770.00,-825.00,-890.00,-955.00,-1020.00,-1085.00,-1150.00,-1215.00,-1285.00,-1350.00,-1415.00,-1480.00,-1550.00,-1620.00,-1799.00,-1977.50,-2039.00,-2105.00,-2171.00,-2234.50,-2319.50,-2406.00,-2474.50,-2543.00,-2708.50,-2873.00,-2941.00,-3009.50,-3177.00,-3350.00,-3480.50,-3611.00,-4814.50,-6051.00,-6200.50,-6362.00,-6524.50,-6681.50,-6913.50,-7149.00,-7320.00,-7490.00,-7800.00,-8105.00,-8255.00,-8405.00,-8905.00,-9415.00,-9665.00,-9910.00,-15600.00,-21405.00,-21815.00,-22225.00,-24000.00,-25830.00,-26405.00,-26934.50,-67531.20,-108904.70,,,,,,,,,,,,,,,,,,,
86,Radon,Rn,8.34,0.51,-5.38,-16.07,-25.40,-33.15,-44.90,-58.45,-76.00,-95.00,-128.00,-163.95,-184.45,-206.50,-229.00,-252.00,-278.50,-305.00,-329.50,-354.50,-427.50,-503.50,-534.00,-564.00,-611.00,-661.50,-720.00,-780.00,-825.00,-885.00,-950.00,-1015.00,-1085.00,-1150.00,-1215.00,-1280.00,-1350.00,-1425.00,-1490.00,-1555.00,-1625.00,-1690.00,-1876.50,-2063.50,-2126.00,-2192.50,-2260.00,-2325.00,-2412.00,-2501.00,-2570.50,-2640.00,-2809.00,-2977.00,-3046.00,-3115.50,-3291.00,-3471.50,-3604.50,-3738.00,-4973.00,-6243.50,-6397.00,-6561.00,-6726.50,-6885.50,-7123.50,-7366.50,-7540.00,-7715.00,-8030.00,-8335.00,-8490.00,-8640.00,-9160.00,-9695.00,-9950.00,-10205.00,-16030.00,-21965.00,-22380.00,-22800.00,-24655.00,-26570.00,-27160.00,-27696.55,-69372.55,-111842.85,,,,,,,,,,,,,,,,,,
87,Francium,Fr,15.21,0.22,-2.28,-13.24,-27.70,-36.05,-44.55,-58.50,-73.50,-93.00,-113.00,-149.50,-189.50,-211.05,-233.55,-257.00,-281.00,-308.50,-336.50,-362.00,-387.50,-465.00,-545.00,-575.00,-605.00,-655.00,-705.00,-770.00,-835.00,-880.00,-945.00,-1010.00,-1075.00,-1145.00,-1215.00,-1285.00,-1350.00,-1420.00,-1495.00,-1565.00,-1635.00,-1705.00,-1775.00,-1964.50,-2150.50,-2214.50,-2282.00,-2350.50,-2417.00,-2507.00,-2597.50,-2668.50,-2740.00,-2911.50,-3082.00,-3152.50,-3223.50,-3406.50,-3595.50,-3731.50,-3867.50,-5136.00,-6440.50,-6597.00,-6763.50,-6931.00,-7092.50,-7336.00,-7585.00,-7760.00,-7935.00,-8260.00,-8570.00,-8720.00,-8875.00,-9420.00,-9980.00,-10245.00,-10500.00,-16455.00,-22530.00,-22950.00,-23370.00,-25315.00,-27325.00,-27925.00,-28471.70,-71250.30,-114838.10,,,,,,,,,,,,,,,,,
88,Radium,Ra,6.80,-0.14,-2.69,-7.71,-20.57,-36.00,-46.95,-58.45,-73.00,-89.50,-110.50,-132.00,-172.45,-215.95,-238.50,-262.00,-286.50,-311.50,-340.00,-369.00,-395.50,-422.00,-502.50,-585.00,-615.00,-645.00,-700.00,-755.00,-815.00,-880.00,-935.00,-1005.00,-1075.00,-1145.00,-1215.00,-1285.00,-1355.00,-1425.00,-1495.00,-1570.00,-1645.00,-1715.00,-1785.00,-1850.00,-2044.00,-2239.50,-2304.50,-2373.50,-2443.00,-2510.50,-2603.00,-2696.50,-2768.50,-2841.00,-3015.50,-3189.50,-3262.00,-3334.00,-3525.00,-3722.00,-3860.50,-3999.50,-5302.50,-6641.50,-6799.50,-6968.50,-7139.00,-7301.00,-7550.00,-7805.00,-7985.00,-8165.00,-8490.00,-8805.00,-8960.00,-9120.00,-9695.00,-10275.00,-10540.00,-10805.00,-16895.00,-23100.00,-23525.00,-23955.00,-25995.00,-28100.00,-28710.00,-29264.90,-73164.25,-117890.00,,,,,,,,,,,,,,,,
89,Actinium,Ac,0.24,-1.36,-2.76,-8.46,-14.59,-31.12,-49.90,-61.00,-73.00,-88.95,-106.40,-128.90,-152.50,-197.05,-244.00,-267.00,-292.00,-317.50,-342.50,-372.50,-403.00,-430.00,-457.00,-540.00,-625.00,-655.00,-690.00,-745.00,-800.00,-870.00,-935.00,-990.00,-1065.00,-1135.00,-1205.00,-1275.00,-1345.00,-1420.00,-1495.00,-1570.00,-1645.00,-1715.00,-1785.00,-1860.00,-1935.00,-2134.00,-2330.00,-2396.00,-2466.50,-2537.50,-2605.50,-2700.50,-2797.50,-2870.50,-2944.00,-3122.00,-3299.00,-3371.50,-3444.00,-3645.00,-3852.00,-3993.00,-4134.00,-5471.00,-6845.00,-7005.50,-7176.50,-7347.50,-7515.00,-7775.00,-8035.00,-8215.00,-8395.00,-8725.00,-9045.00,-9205.00,-9365.00,-9960.00,-10570.00,-10845.00,-11115.00,-17340.00,-23685.00,-24115.00,-24550.00,-26685.00,-28885.00,-29505.00,-30071.50,-75116.00,-121000.95,,,,,,,,,,,,,,,
90,Thorium,Th,2.53,-1.38,-3.35,-9.10,-15.95,-24.40,-43.40,-63.55,-75.55,-88.50,-106.50,-125.50,-149.00,-173.00,-221.50,-273.50,-297.50,-323.00,-349.00,-375.50,-406.50,-437.50,-465.50,-494.00,-579.00,-665.00,-700.00,-735.00,-790.00,-865.00,-935.00,-990.00,-1050.00,-1125.00,-1200.00,-1275.00,-1345.00,-1420.00,-1495.00,-1565.00,-1640.00,-1720.00,-1795.00,-1870.00,-1955.00,-2030.00,-2225.00,-2422.50,-2489.50,-2561.00,-2633.50,-2703.00,-2798.50,-2897.50,-2974.00,-3049.50,-3230.50,-3410.00,-3483.50,-3557.50,-3768.00,-3984.00,-4127.50,-4271.50,-5642.50,-7051.00,-7214.50,-7389.50,-7565.00,-7735.00,-8000.00,-8265.00,-8450.00,-8635.00,-8970.00,-9295.00,-9455.00,-9615.00,-10240.00,-10880.00,-11155.00,-11425.00,-17785.00,-24270.00,-24710.00,-25150.00,-27385.00,-29690.00,-30325.00,-30901.40,-77104.60,-124169.90,,,,,,,,,,,,,,
91,Protactinium,Pa,-1.24,-1.39,-3.14,-8.90,-15.45,-24.95,-37.60,-58.15,-78.55,-92.00,-104.95,-124.00,-145.00,-170.00,-195.00,-247.50,-304.00,-329.00,-355.50,-382.00,-409.00,-441.50,-474.00,-503.00,-532.00,-618.00,-705.00,-740.00,-775.00,-835.00,-900.00,-970.00,-1040.00,-1105.00,-1185.00,-1260.00,-1335.00,-1410.00,-1485.00,-1560.00,-1635.00,-1715.00,-1795.00,-1870.00,-1955.00,-2030.00,-2095.00,-2306.50,-2516.50,-2585.00,-2658.00,-2731.00,-2801.50,-2902.50,-3004.00,-3079.50,-3156.00,-3340.50,-3523.00,-3597.50,-3673.00,-3893.00,-4119.00,-4265.50,-4412.00,-5817.50,-7261.00,-7425.50,-7600.00,-7780.00,-7955.00,-8225.00,-8500.00,-8685.00,-8870.00,-9210.00,-9540.00,-9705.00,-9870.00,-10525.00,-11190.00,-11470.00,-11750.00,-18250.00,-24870.00,-25310.00,-25755.00,-28100.00,-30515.00,-31160.00,-31745.80,-79134.10,-127401.80,,,,,,,,,,,,,
92,Uranium,U,6.41,-1.60,-3.29,-8.40,-15.20,-28.25,-41.35,-53.00,-74.50,-95.00,-108.50,-122.50,-143.50,-165.50,-191.50,-218.50,-275.00,-335.50,-361.50,-388.50,-416.50,-444.50,-477.50,-511.00,-541.00,-571.00,-657.50,-750.00,-785.00,-820.00,-885.00,-950.00,-1020.00,-1090.00,-1160.00,-1250.00,-1325.00,-1400.00,-1480.00,-1555.00,-1630.00,-1710.00,-1790.00,-1870.00,-1950.00,-2030.00,-2105.00,-2180.00,-2399.00,-2612.00,-2682.00,-2756.00,-2830.50,-2902.50,-3005.50,-3110.00,-3187.50,-3264.50,-3451.50,-3638.50,-3714.00,-3790.00,-4020.50,-4256.50,-4404.50,-4554.00,-5995.50,-7471.50,-7640.00,-7820.00,-8000.00,-8175.00,-8455.00,-8740.00,-8930.00,-9120.00,-9465.00,-9795.00,-9955.00,-10120.00,-10805.00,-11505.00,-11795.00,-12075.00,-18710.00,-25470.00,-25915.00,-26370.00,-28825.00,-31350.00,-32020.00,-32618.25,-81203.40,-130695.65,,,,,,,,,,,,
93,Neptunium,Np,1.83,-1.35,-3.29,-8.88,-15.60,-26.75,-40.90,-56.50,-78.50,-99.50,-114.00,-128.50,-143.50,-165.00,-187.50,-214.50,-242.50,-303.50,-368.50,-395.00,-423.00,-452.00,-480.50,-515.00,-550.00,-580.50,-611.00,-698.00,-790.00,-830.00,-865.00,-930.00,-1000.00,-1075.00,-1150.00,-1225.00,-1320.00,-1395.00,-1470.00,-1550.00,-1630.00,-1705.00,-1780.00,-1865.00,-1950.00,-2030.00,-2105.00,-2185.00,-2270.00,-2492.50,-2710.00,-2781.00,-2855.50,-2931.50,-3005.00,-3111.00,-3218.00,-3296.50,-3375.50,-3565.50,-3755.00,-3832.00,-3909.50,-4150.00,-4397.00,-4549.50,-4701.00,-6177.00,-7690.00,-7860.00,-8040.00,-8220.00,-8395.00,-8685.00,-8980.00,-9170.00,-9360.00,-9710.00,-10050.00,-10215.00,-10380.00,-11100.00,-11835.00,-12125.00,-12410.00,-19185.00,-26085.00,-26535.00,-26990.00,-29560.00,-32205.00,-32900.00,-33511.10,-83312.00,-134051.90,,,,,,,,,,,
94,Plutonium,Pu,0.22,-2.70,-3.07,-8.61,-16.10,-28.00,-42.00,-64.50,-87.50,-102.00,-116.50,-131.50,-149.00,-169.00,-189.50,-209.50,-238.50,-268.00,-333.50,-402.50,-430.00,-459.00,-488.50,-517.50,-553.50,-590.00,-621.00,-652.50,-744.00,-835.00,-870.00,-910.00,-980.00,-1050.00,-1125.00,-1200.00,-1280.00,-1380.00,-1460.00,-1540.00,-1620.00,-1700.00,-1780.00,-1855.00,-1940.00,-2030.00,-2110.00,-2190.00,-2270.00,-2350.00,-2582.00,-2809.00,-2881.00,-2957.50,-3034.50,-3109.00,-3218.00,-3328.00,-3407.50,-3488.00,-3681.50,-3873.50,-3952.00,-4030.50,-4282.00,-4540.50,-4696.00,-4848.50,-6355.00,-7905.00,-8080.00,-8265.00,-8450.00,-8630.00,-8925.00,-9220.00,-9415.00,-9610.00,-9965.00,-10310.00,-10480.00,-10650.00,-11395.00,-12160.00,-12460.00,-12750.00,-19660.00,-26700.00,-27160.00,-27620.00,-30320.00,-33100.00,-33750.00,-34362.90,-85462.50,-137472.60,,,,,,,,,,
95,Americium,Am,0.66,-0.93,-3.03,-8.84,-16.70,-29.25,-43.40,-58.95,-81.45,-102.50,-118.00,-133.50,-151.50,-173.00,-195.00,-215.50,-233.50,-263.00,-294.50,-364.50,-437.50,-466.00,-496.00,-526.00,-556.00,-593.50,-631.00,-663.00,-695.50,-785.50,-880.00,-920.00,-960.00,-1035.00,-1110.00,-1185.00,-1260.00,-1345.00,-1450.00,-1530.00,-1610.00,-1695.00,-1780.00,-1860.00,-1940.00,-2025.00,-2115.00,-2200.00,-2280.00,-2365.00,-2445.00,-2677.00,-2910.00,-2983.50,-3061.00,-3139.50,-3214.50,-3326.50,-3440.50,-3521.00,-3602.00,-3798.50,-3994.50,-4074.00,-4153.00,-4416.50,-4687.50,-4846.50,-5005.00,-6545.00,-8125.00,-8305.00,-8495.00,-8680.00,-8860.00,-9165.00,-9470.00,-9665.00,-9865.00,-10225.00,-10570.00,-10740.00,-10915.00,-11700.00,-12500.00,-12800.00,-13095.00,-20150.00,-27330.00,-27795.00,-28270.00,-31100.00,-34000.00,-34700.00,-35324.70,-87659.45,-140965.25,,,,,,,,,
96,Curium,Cm,1.27,-0.92,-3.16,-8.00,-15.05,-28.90,-44.35,-60.05,-83.05,-104.50,-120.00,-136.00,-155.50,-178.50,-201.00,-223.50,-244.00,-262.50,-291.50,-321.50,-396.00,-474.50,-503.50,-534.00,-565.00,-595.50,-634.00,-673.00,-706.00,-739.00,-832.50,-930.00,-970.00,-1010.00,-1085.00,-1160.00,-1240.00,-1320.00,-1410.00,-1520.00,-1600.00,-1685.00,-1770.00,-1850.00,-1935.00,-2020.00,-2110.00,-2200.00,-2280.00,-2365.00,-2450.00,-2535.00,-2778.00,-3013.00,-3087.50,-3166.00,-3245.50,-3322.00,-3437.50,-3554.00,-3636.00,-3718.50,-3918.00,-4117.00,-4197.50,-4278.00,-4554.00,-4835.50,-4995.00,-5155.00,-6735.00,-8355.00,-8530.00,-8720.00,-8910.00,-9090.00,-9405.00,-9725.00,-9920.00,-10120.00,-10490.00,-10840.00,-11010.00,-11185.00,-12005.00,-12845.00,-13155.00,-13455.00,-20645.00,-27960.00,-28440.00,-28900.00,-31850.00,-34900.00,-35600.00,-36246.50,-89896.30,-144521.30,,,,,,,,
97,Berkelium,Bk,-,-,-3.11,-9.05,-16.75,-28.80,-46.00,-63.05,-80.05,-102.00,-122.00,-138.50,-159.00,-183.00,-206.50,-229.00,-249.50,-269.00,-291.00,-321.00,-350.00,-429.00,-511.50,-541.50,-573.50,-605.50,-636.50,-676.00,-716.50,-750.50,-784.00,-880.00,-980.00,-1020.00,-1060.00,-1140.00,-1220.00,-1300.00,-1385.00,-1480.00,-1590.00,-1675.00,-1760.00,-1845.00,-1930.00,-2010.00,-2095.00,-2190.00,-2280.00,-2365.00,-2450.00,-2535.00,-2625.00,-2875.00,-3117.00,-3193.00,-3273.50,-3354.00,-3431.00,-3549.50,-3669.50,-3753.00,-3837.00,-4039.50,-4241.50,-4323.00,-4405.00,-4692.50,-4990.00,-5155.00,-5315.00,-6930.00,-8585.00,-8760.00,-8950.00,-9145.00,-9330.00,-9650.00,-9975.00,-10175.00,-10380.00,-10750.00,-11105.00,-11285.00,-11460.00,-12315.00,-13195.00,-13510.00,-13815.00,-21145.00,-28590.00,-29050.00,-29550.00,-32650.00,-35850.00,-36600.00,-37228.80,-92181.15,-148151.35,,,,,,,
98,Californium,Cf,-,-,-3.15,-9.04,-17.10,-30.05,-44.80,-63.45,-83.00,-101.95,-122.95,-142.50,-165.00,-190.00,-213.50,-236.00,-256.00,-275.50,-298.00,-322.00,-351.00,-379.00,-463.00,-551.00,-581.50,-613.50,-646.00,-678.50,-719.50,-761.00,-796.00,-830.50,-928.50,-1030.00,-1070.00,-1105.00,-1185.00,-1275.00,-1360.00,-1440.00,-1540.00,-1660.00,-1745.00,-1835.00,-1920.00,-2005.00,-2090.00,-2175.00,-2270.00,-2365.00,-2450.00,-2535.00,-2625.00,-2710.00,-2968.00,-3223.50,-3300.50,-3382.00,-3463.50,-3542.00,-3664.00,-3787.50,-3871.50,-3956.50,-4163.50,-4368.00,-4450.50,-4534.00,-4837.00,-5145.00,-5310.00,-5475.00,-7125.00,-8815.00,-8995.00,-9190.00,-9385.00,-9570.00,-9900.00,-10235.00,-10440.00,-10645.00,-11020.00,-11385.00,-11560.00,-11735.00,-12635.00,-13555.00,-13870.00,-14180.00,-21640.00,-29250.00,-29750.00,-30250.00,-33500.00,-36800.00,-37500.00,-38171.75,-94511.40,-151851.65,,,,,,
99,Einsteinium,Es,-,-,-3.21,-9.21,-17.35,-30.75,-46.45,-62.55,-84.00,-104.95,-124.95,-147.00,-168.50,-193.00,-218.50,-241.50,-261.00,-282.00,-305.50,-329.50,-354.50,-382.50,-409.50,-498.50,-591.00,-622.00,-655.00,-688.50,-721.50,-764.00,-807.00,-842.50,-878.00,-977.50,-1080.00,-1120.00,-1160.00,-1245.00,-1335.00,-1420.00,-1505.00,-1610.00,-1735.00,-1825.00,-1910.00,-1995.00,-2085.00,-2175.00,-2260.00,-2355.00,-2450.00,-2535.00,-2630.00,-2720.00,-2830.00,-3097.00,-3332.00,-3409.50,-3492.00,-3575.50,-3655.00,-3780.00,-3906.50,-3992.50,-4079.00,-4288.00,-4496.50,-4578.50,-4660.00,-4980.00,-5305.00,-5475.00,-5645.00,-7325.00,-9050.00,-9235.00,-9430.00,-9625.00,-9815.00,-10155.00,-10495.00,-10700.00,-10910.00,-11290.00,-11655.00,-11835.00,-12020.00,-12960.00,-13920.00,-14245.00,-14580.00,-22200.00,-29900.00,-30400.00,-30900.00,-34250.00,-37750.00,-38500.00,-39175.70,-96889.70,-155627.00,,,,,
100,Fermium,Fm,-,-,-,-8.25,-16.60,-31.25,-47.15,-64.50,-83.50,-106.50,-128.00,-149.00,-173.50,-197.00,-223.00,-247.00,-266.50,-288.00,-313.00,-338.50,-364.00,-389.50,-416.00,-441.50,-534.50,-631.50,-663.50,-698.00,-732.50,-765.50,-809.50,-854.00,-890.00,-926.50,-1027.00,-1130.00,-1170.00,-1210.00,-1300.00,-1395.00,-1485.00,-1575.00,-1685.00,-1815.00,-1900.00,-1985.00,-2075.00,-2165.00,-2255.00,-2345.00,-2440.00,-2540.00,-2635.00,-2720.00,-2805.00,-2900.00,-3176.50,-3441.50,-3520.50,-3604.00,-3688.50,-3770.00,-3898.00,-4028.00,-4115.00,-4202.50,-4415.50,-4628.00,-4715.00,-4800.00,-5130.00,-5465.00,-5635.00,-5810.00,-7530.00,-9285.00,-9470.00,-9670.00,-9870.00,-10065.00,-10410.00,-10760.00,-10970.00,-11180.00,-11565.00,-11935.00,-12120.00,-12305.00,-13285.00,-14290.00,-14600.00,-14900.00,-22650.00,-30550.00,-31050.00,-31550.00,-35100.00,-38750.00,-39550.00,-40241.10,-99317.35,,,,,
101,Mendelevium,Md,-,-,-,-8.29,-17.15,-32.15,-47.05,-65.05,-86.00,-105.55,-129.50,-152.95,-174.50,-201.00,-227.50,-250.00,-271.00,-294.50,-320.50,-347.00,-373.00,-399.00,-425.00,-450.00,-474.00,-572.50,-674.50,-706.50,-741.50,-777.00,-811.00,-856.50,-902.50,-939.00,-976.00,-1077.00,-1180.00,-1225.00,-1270.00,-1360.00,-1455.00,-1550.00,-1640.00,-1750.00,-1885.00,-1975.00,-2065.00,-2155.00,-2245.00,-2335.00,-2430.00,-2530.00,-2630.00,-2720.00,-2810.00,-2905.00,-3000.00,-3281.50,-3552.50,-3633.50,-3718.50,-3803.50,-3885.50,-4017.50,-4151.50,-4240.00,-4328.50,-4545.50,-4760.00,-4845.00,-4930.00,-5275.00,-5630.00,-5805.00,-5980.00,-7730.00,-9525.00,-9715.00,-9915.00,-10120.00,-10315.00,-10670.00,-11030.00,-11245.00,-11460.00,-11850.00,-12225.00,-12405.00,-12590.00,-13620.00,-14680.00,-15000.00,-15300.00,-23200.00,-31250.00,-31750.00,-32250.00,-36000.00,-39800.00,-40550.00,-41274.00,,,,,
102,Nobelium,No,-,-,-,-9.58,-19.15,-33.65,-50.75,-67.00,-85.50,-108.00,-129.50,-155.00,-178.50,-201.50,-231.00,-256.50,-278.50,-301.00,-326.50,-354.00,-380.50,-407.00,-434.00,-461.50,-485.50,-508.00,-610.50,-717.50,-751.00,-786.50,-822.50,-857.50,-904.50,-951.50,-989.50,-1027.50,-1132.50,-1240.00,-1280.00,-1320.00,-1420.00,-1525.00,-1615.00,-1705.00,-1825.00,-1965.00,-2060.00,-2155.00,-2245.00,-2335.00,-2425.00,-2520.00,-2625.00,-2720.00,-2810.00,-2905.00,-3000.00,-3095.00,-3383.50,-3666.00,-3747.50,-3834.00,-3920.00,-4003.50,-4139.50,-4277.00,-4366.50,-4456.50,-4675.00,-4890.00,-4980.00,-5070.00,-5430.00,-5800.00,-5980.00,-6160.00,-7945.00,-9770.00,-9960.00,-10165.00,-10370.00,-10565.00,-10930.00,-11305.00,-11520.00,-11735.00,-12130.00,-12510.00,-12700.00,-12890.00,-13990.00,-15100.00,-15400.00,-15700.00,-23750.00,-31950.00,-32450.00,-32950.00,-36850.00,-40850.00,-41650.00,,,,,
103,Lawrencium,Lr,-,-,-2.91,-9.83,-17.85,-32.50,-49.80,-68.00,-88.00,-108.50,-132.00,-154.00,-181.00,-206.50,-230.00,-256.50,-279.50,-305.00,-332.00,-359.00,-388.50,-417.00,-445.50,-473.50,-498.50,-525.00,-550.00,-652.50,-762.00,-796.50,-833.00,-870.00,-905.00,-953.50,-1002.50,-1040.50,-1079.50,-1189.00,-1300.00,-1340.00,-1385.00,-1490.00,-1595.00,-1690.00,-1785.00,-1910.00,-2055.00,-2145.00,-2240.00,-2335.00,-2425.00,-2520.00,-2620.00,-2725.00,-2820.00,-2910.00,-3010.00,-3105.00,-3200.00,-3495.50,-3781.00,-3863.50,-3951.00,-4039.00,-4123.50,-4262.50,-4404.00,-4494.00,-4585.00,-4810.00,-5030.00,-5115.00,-5205.00,-5585.00,-5975.00,-6160.00,-6340.00,-8155.00,-10015.00,-10210.00,-10415.00,-10620.00,-10820.00,-11200.00,-11580.00,-11795.00,-12015.00,-12415.00,-12800.00,-12990.00,-13195.00,-14300.00,-15450.00,-15800.00,-16100.00,-24300.00,-32650.00,-33150.00,-33650.00,-37750.00,-41950.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Chemical Hardness of Atoms and Atomic Ions (eV) from the Parr-Pearson formula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atomic #,Element,Symbol,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,,,,,
1,Hydrogen,H,0.00,-,12.84,92.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Helium,He,0.00,0.52,24.59,29.83,135.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lithium,Li,0.00,1.90,4.77,70.25,46.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Beryllium,Be,0.00,2.70,9.32,8.89,135.69,63.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Boron,B,0.00,5.68,8.02,16.86,12.78,221.44,80.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Carbon,C,0.00,8.02,10.00,13.12,23.50,16.61,327.59,97.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Nitrogen,N,2.60,6.46,14.53,15.07,17.85,30.02,20.42,454.18,114.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Oxygen,O,5.40,9.61,12.16,21.50,19.81,22.48,36.49,24.22,601.17,132.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Fluorine,F,0.00,5.39,14.02,17.55,27.74,24.43,27.10,42.92,28.02,768.73,149.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Neon,Ne,0.00,1.39,21.56,19.40,22.49,33.67,29.09,31.72,49.35,31.82,956.73,166.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Sodium,Na,0.00,3.63,4.59,42.15,24.33,27.29,39.49,33.78,36.32,55.75,35.61,1165.26,183.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
